timestamp,order_count,anomaly_injected
2026-09-17 16:46:34.032042,52,False
2026-09-17 17:46:34.032054,49,False
2026-09-17 18:46:34.032057,53,False
2026-09-17 19:46:34.032059,57,False
2026-09-17 20:46:34.032060,48,False
2026-09-17 21:46:34.032062,48,False
2026-09-17 22:46:34.032063,57,False
2026-09-17 23:46:34.032065,53,False
2026-09-18 00:46:34.032066,47,False
2026-09-18 01:46:34.032067,52,False
2026-09-18 02:46:34.032069,47,False
2026-09-18 03:46:34.032070,47,False
2026-09-18 04:46:34.032071,51,False
2026-09-18 05:46:34.032073,40,False
2026-09-18 06:46:34.032074,41,False
2026-09-18 07:46:34.032075,47,False
2026-09-18 08:46:34.032076,44,False
2026-09-18 09:46:34.032077,51,False
2026-09-18 10:46:34.032079,45,False
2026-09-18 11:46:34.032080,42,False
2026-09-18 12:46:34.032081,3,True
2026-09-18 13:46:34.032083,48,False
2026-09-18 14:46:34.032084,50,False
2026-09-18 15:46:34.032085,42,False
2026-09-18 16:46:34.032086,47,False
2026-09-18 17:46:34.032088,50,False
2026-09-18 18:46:34.032089,44,False
2026-09-18 19:46:34.032090,51,False
2026-09-18 20:46:34.032091,46,False
2026-09-18 21:46:34.032093,48,False
2026-09-18 22:46:34.032094,46,False
2026-09-18 23:46:34.032095,59,False
2026-09-19 00:46:34.032096,49,False
2026-09-19 01:46:34.032098,44,False
2026-09-19 02:46:34.032099,54,False
2026-09-19 03:46:34.032100,43,False
2026-09-19 04:46:34.032101,51,False
2026-09-19 05:46:34.032103,40,False
2026-09-19 06:46:34.032104,43,False
2026-09-19 07:46:34.032105,50,False
2026-09-19 08:46:34.032106,53,False
2026-09-19 09:46:34.032107,50,False
2026-09-19 10:46:34.032109,49,False
2026-09-19 11:46:34.032110,48,False
2026-09-19 12:46:34.032111,42,False
2026-09-19 13:46:34.032112,400,True
2026-09-19 14:46:34.032113,47,False
2026-09-19 15:46:34.032115,55,False
2026-09-19 16:46:34.032116,51,False
2026-09-19 17:46:34.032117,41,False
2026-09-19 18:46:34.032118,51,False
2026-09-19 19:46:34.032119,48,False
2026-09-19 20:46:34.032121,46,False
2026-09-19 21:46:34.032122,53,False
2026-09-19 22:46:34.032124,55,False
2026-09-19 23:46:34.032125,54,False
2026-09-20 00:46:34.032126,45,False
2026-09-20 01:46:34.032127,48,False
2026-09-20 02:46:34.032128,51,False
2026-09-20 03:46:34.032130,54,False
2026-09-20 04:46:34.032131,47,False
2026-09-20 05:46:34.032133,49,False
2026-09-20 06:46:34.032134,44,False
2026-09-20 07:46:34.032135,44,False
2026-09-20 08:46:34.032136,54,False
2026-09-20 09:46:34.032137,56,False
2026-09-20 10:46:34.032139,49,False
2026-09-20 11:46:34.032140,55,False
2026-09-20 12:46:34.032141,51,False
2026-09-20 13:46:34.032142,46,False
2026-09-20 14:46:34.032143,51,False
2026-09-20 15:46:34.032144,57,False
