timestamp,order_count
2011-12-01 14:00:00,17
2011-12-01 15:00:00,15
2011-12-01 16:00:00,8
2011-12-01 17:00:00,6
2011-12-01 18:00:00,5
2011-12-01 19:00:00,4
2011-12-02 08:00:00,1
2011-12-02 09:00:00,6
2011-12-02 10:00:00,18
2011-12-02 11:00:00,17
2011-12-02 12:00:00,24
2011-12-02 13:00:00,23
2011-12-02 14:00:00,12
2011-12-02 15:00:00,13
2011-12-02 16:00:00,16
2011-12-02 17:00:00,12
2011-12-04 10:00:00,12
2011-12-04 11:00:00,8
2011-12-04 12:00:00,15
2011-12-04 13:00:00,13
2011-12-04 14:00:00,9
2011-12-04 15:00:00,11
2011-12-04 16:00:00,4
2011-12-05 08:00:00,3
2011-12-05 09:00:00,9
2011-12-05 10:00:00,14
2011-12-05 11:00:00,17
2011-12-05 12:00:00,19
2011-12-05 13:00:00,19
2011-12-05 14:00:00,18
2011-12-05 15:00:00,13
2011-12-05 16:00:00,28
2011-12-05 17:00:00,11
2011-12-06 08:00:00,4
2011-12-06 09:00:00,16
2011-12-06 10:00:00,19
2011-12-06 11:00:00,22
2011-12-06 12:00:00,27
2011-12-06 13:00:00,13
2011-12-06 14:00:00,20
2011-12-06 15:00:00,11
2011-12-06 16:00:00,11
2011-12-06 17:00:00,6
2011-12-07 08:00:00,8
2011-12-07 09:00:00,9
2011-12-07 10:00:00,9
2011-12-07 11:00:00,16
2011-12-07 12:00:00,28
2011-12-07 13:00:00,13
2011-12-07 14:00:00,12
2011-12-07 15:00:00,13
2011-12-07 16:00:00,8
2011-12-07 17:00:00,6
2011-12-07 18:00:00,16
2011-12-08 08:00:00,1
2011-12-08 09:00:00,13
2011-12-08 10:00:00,13
2011-12-08 11:00:00,18
2011-12-08 12:00:00,19
2011-12-08 13:00:00,19
2011-12-08 14:00:00,9
2011-12-08 15:00:00,17
2011-12-08 16:00:00,8
2011-12-08 17:00:00,5
2011-12-08 18:00:00,14
2011-12-08 19:00:00,8
2011-12-08 20:00:00,1
2011-12-09 08:00:00,4
2011-12-09 09:00:00,12
2011-12-09 10:00:00,12
2011-12-09 11:00:00,8
2011-12-09 12:00:00,13
